3,225,156,193,212,87,-21.999999999996472
5,422,364,467,554,235,-18.39999999999437
6,558,411,413,447,168,-74.39999999998696
23,2,5,30,13,41,8.599999999998298
24,81,115,272,412,105,34.49999999999794
25,2,0,0,1,0,-0.3000000000000185
45,4,3,14,7,1,-0.1999999999997568
46,176,143,207,223,87,-9.799999999997148
47,298,474,623,579,180,-13.099999999982685
48,727,461,578,379,116,-130.39999999997684
49,516,390,398,335,196,-69.49999999998789
50,3865,3309,3493,2753,799,-668.7999999998451
51,211,184,258,159,43,-36.09999999999022
52,1091,1107,1277,970,390,-153.899999999954
53,27,27,31,9,7,-5.799999999998466
56,341,353,262,426,229,-15.099999999996065
58,1,3,3,26,20,6.099999999998616
59,5,12,33,20,10,1.800000000000355
60,68,115,64,38,13,-18.69999999999379
61,1,0,1,0,0,-0.19999999999998122
62,126,76,124,117,22,-16.69999999999683
64,0,1,1,1,0,5.6038507167954776E-14
66,1156,1186,1213,376,44,-303.3999999999202
67,87,66,55,30,11,-18.799999999996444
68,478,368,164,114,44,-112.19999999998083
69,49,77,51,41,8,-11.799999999995942
70,0,7,7,5,9,1.599999999999925
71,3,0,51,37,2,3.500000000000149
72,12,5,4,2,7,-1.300000000000074
73,3,4,3,5,4,0.29999999999996285
74,437,267,363,361,136,-50.79999999999259
75,19,5,11,11,10,-1.2000000000002786
76,2134,2053,2160,935,256,-487.3999999998761
77,253,159,124,170,136,-22.299999999999557
78,0,0,0,1,1,0.2999999999999252
79,1,15,64,60,14,7.10000000000013
80,4,1,3,3,4,0.1999999999998321
81,21,22,39,9,5,-4.499999999998484
82,504,328,225,134,14,-117.39999999998066
83,338,493,660,483,95,-49.599999999974344
84,1115,1129,1097,1091,421,-142.59999999996006
85,97,98,76,79,53,-10.699999999997527
86,837,754,822,836,245,-110.1999999999717
87,1059,1004,803,790,275,-178.1999999999588
88,624,534,1107,1105,388,9.900000000008262
89,8,4,8,5,0,-1.499999999999719
90,890,904,1032,1199,353,-77.89999999997217
91,7,3,9,18,3,0.6999999999998323
92,151,60,51,72,18,-25.399999999998023
93,37,20,24,1,1,-9.0999999999985
94,59,35,65,65,26,-3.5999999999994907
95,46,58,52,129,82,14.299999999997217
96,65,32,11,54,15,-7.7999999999998435
98,2,1,5,2,0,-0.2999999999998877
99,158,192,171,192,23,-26.999999999990912
100,159,244,132,77,30,-42.49999999998696
108,17,88,77,15,19,-6.8999999999949715
109,0,3,2,0,1,-0.09999999999985057
112,31,7,0,0,0,-6.899999999999604
113,4829,4618,5109,4960,1638,-603.9999999998298
115,34,33,123,360,28,31.499999999995843
116,162,192,182,135,47,-28.69999999999098
117,626,427,749,514,175,-81.49999999998144
118,447,316,501,400,101,-60.79999999998603
120,729,581,927,965,189,-69.59999999997868
121,168,86,156,209,41,-13.099999999998452
122,583,552,731,345,92,-118.89999999996692
123,124,101,162,185,61,-4.199999999998175
124,43,24,38,57,13,-2.699999999999734
125,695,516,772,1298,322,3.6000000000010886
126,720,655,849,673,241,-93.99999999997343
128,114,70,107,139,36,-8.699999999998687
129,1,0,0,2,1,0.1999999999999066
131,638,630,761,538,141,-108.59999999996836
132,323,287,606,692,331,42.09999999999596
133,128,69,53,12,1,-31.099999999995415
134,557,271,246,370,184,-64.6999999999974
135,227,171,115,184,3,-43.49999999999186
136,57,55,105,101,10,-4.7999999999974
137,1021,781,741,531,187,-191.79999999996267
138,442,336,261,265,117,-72.09999999998776
139,623,418,325,304,145,-106.99999999998423
140,729,554,807,652,286,-78.79999999998199
141,574,573,632,652,255,-55.89999999998249
142,6,12,17,14,9,0.8000000000002243
143,33,30,42,47,10,-2.8999999999989705
144,13,16,10,3,5,-2.8999999999992525
145,115,171,220,196,84,-3.699999999994663
146,240,466,1019,961,464,94.3000000000012
147,1023,1053,1544,1543,696,-16.399999999979883
148,908,1708,1656,1428,591,-91.39999999993307
149,670,732,463,515,210,-113.69999999997167
150,868,998,1278,1234,485,-52.99999999997033
151,1662,1434,2093,2005,858,-103.69999999996588
152,756,700,1029,1009,443,-31.69999999998518
153,285,232,540,182,139,-34.19999999998808
154,256,227,424,492,400,55.29999999998905
155,298,385,709,503,237,-0.3999999999878483
156,1333,1497,1628,1237,364,-219.79999999992907
157,1601,1881,2012,1601,506,-246.99999999991508
158,1599,1810,2057,1624,487,-240.99999999991763
159,181,239,221,210,102,-18.6999999999921
160,20,25,30,57,68,12.799999999997084
161,39,29,42,10,9,-7.899999999998276
162,6,4,3,13,2,0.09999999999992576
163,703,700,502,293,115,-158.29999999996323
164,762,770,912,763,323,-88.49999999997209
165,851,633,729,635,193,-131.39999999997352
166,452,424,374,412,115,-68.59999999998337
167,1223,1200,921,934,282,-214.79999999994868
169,65,46,39,15,6,-14.899999999997304
180,0,0,1,1,0,0.09999999999999998
183,0,0,0,1,0,0.0999999999999813
184,12,20,0,4,11,-1.7999999999995695
190,1,0,0,1,0,-0.1000000000000186
191,2,1,0,0,0,-0.4999999999999437
192,21,29,21,18,16,-2.099999999999213
193,0,0,0,0,2,0.39999999999988783
194,2,0,4,18,11,3.5999999999991212
195,14,32,16,14,15,-1.5999999999990075
196,61,54,24,0,0,-17.59999999999652
198,1,0,0,1,0,-0.1000000000000186
199,0,1,2,0,0,-0.09999999999990657
200,0,1,0,2,0,0.10000000000001866
201,0,0,0,0,1,0.19999999999994392
202,0,0,3,0,0,5.6059251458854267E-14
203,0,3,0,0,0,-0.29999999999983185
204,0,0,0,4,0,0.3999999999999252
205,0,0,0,2,0,0.1999999999999626
206,8,16,40,89,96,24.8999999999946
207,4,0,4,1,0,-0.6999999999999436
208,0,0,1,1,1,0.29999999999994387
210,2,0,1,0,0,-0.3999999999999811
211,1,0,0,0,0,-0.1999999999999999
212,291,334,57,33,6,-87.09999999998114
213,1,1,0,0,0,-0.29999999999994387
214,0,0,1,0,0,1.8686417152951422E-14
215,0,0,0,1,0,0.0999999999999813
216,3,3,1,2,2,-0.29999999999996246
219,15,16,6,25,5,-1.0999999999997379
220,11,3,1,6,6,-0.7000000000002609
221,1,1,0,0,0,-0.29999999999994387
222,5,1,3,1,0,-0.9999999999999062
223,1,1,0,1,0,-0.19999999999996257
224,1,1,0,1,0,-0.19999999999996257
225,11,4,3,14,8,0.3999999999995709
228,13,1,7,9,4,-1.0000000000002047
229,1,1,1,0,0,-0.29999999999992516
231,1,2,0,4,0,3.7414515929867775E-14
232,18,11,13,24,15,0.6999999999995721
234,1,0,3,1,0,-0.09999999999996254
235,25,22,24,20,17,-1.7999999999996428
236,35,26,23,37,25,-0.9000000000002037
237,7,1,7,2,3,-0.7000000000000179
239,1,1,0,1,2,0.19999999999992527
240,2,1,2,2,0,-0.29999999999994376
244,1,1,5,0,1,-0.09999999999990652
248,3,46,33,2,0,-4.999999999996842
249,1,1,7,2,0,-0.09999999999985049
250,2,3,8,12,1,0.7000000000000371
251,1,8,4,19,2,1.3000000000000558
252,5,2,4,1,4,-0.30000000000005567
253,6,5,2,7,1,-0.7999999999998688
256,6,93,141,121,34,8.400000000003677
258,4,2,4,6,1,-0.19999999999998105
259,50,73,211,231,157,37.199999999994915
278,7,8,11,15,9,1.0999999999998697
279,10,1,3,11,3,-0.40000000000026126
282,140,107,135,316,78,8.499999999998247
287,16,48,37,39,11,-1.8999999999979629
288,316,211,166,361,137,-20.799999999999464
297,0,0,2,2,0,0.19999999999999996
298,2,1,6,1,0,-0.39999999999985025
312,4,3,2,0,0,-1.099999999999794
313,1,1,3,2,4,0.6999999999998505
314,10,2,10,5,2,-1.2999999999999057
315,10,5,2,3,0,-2.1999999999997377
316,2,1,4,0,1,-0.2999999999999251
318,1,2,0,3,0,-0.09999999999994391
319,0,0,1,0,1,0.1999999999999626
320,1,0,3,1,0,-0.09999999999996254
321,0,0,0,1,0,0.0999999999999813
327,6,5,6,1,1,-1.3999999999996817
329,0,0,1,1,0,0.09999999999999998
332,1,0,0,2,0,-3.730349362740526E-14
334,1,0,0,0,0,-0.1999999999999999
338,1,0,4,5,1,0.4999999999999253
344,5,141,134,126,1,-2.299999999992002
420,171,184,182,227,33,-23.299999999992355
421,128,106,110,23,89,-16.099999999997415
422,63,288,326,447,51,13.50000000001102
423,55,95,63,87,39,-3.9999999999973097
425,685,1283,2819,2891,1305,284.7999999999974
426,19,18,13,16,37,3.39999999999888
427,2,2,10,6,139,27.799999999992394
428,671,338,337,453,278,-67.09999999999874
429,194,184,253,308,134,0.40000000000177494
431,226,182,240,268,76,-21.399999999994563
432,199,142,197,248,161,2.9999999999979927
433,145,92,85,123,52,-15.499999999998453
434,64,66,46,105,52,1.4999999999996874
437,266,286,319,387,216,0.10000000000266596
438,398,261,213,322,132,-47.09999999999478
439,191,160,170,187,95,-16.49999999999666
440,247,155,181,237,109,-19.399999999998442
441,489,261,159,235,140,-72.3999999999946
442,1387,1456,1318,972,243,-277.19999999992547
443,1045,615,878,1059,354,-93.79999999998867
444,482,1018,94,1622,894,142.79999999997844
445,175,154,179,243,91,-7.89999999999765
446,173,259,421,214,89,-21.29999999998659
447,300,209,261,284,88,-34.899999999993625
448,603,701,711,764,318,-50.699999999979504
449,147,177,258,212,95,-6.899999999994531
450,137,128,105,67,86,-16.299999999996928
451,132,236,483,385,246,37.700000000001275
452,248,149,341,339,138,-2.9999999999993285
453,80,201,272,285,78,8.000000000006652
455,98,200,182,255,53,-3.4999999999931184
459,149,248,204,232,178,4.200000000003406
460,163,240,280,146,21,-37.79999999998522
461,92,105,117,50,43,-15.299999999995265
462,2,1,3,2,0,-0.29999999999992505
463,27,81,41,10,8,-10.899999999995325
464,151,130,173,242,111,3.1999999999997826
465,373,248,143,162,97,-63.79999999999187
466,240,87,130,234,134,-6.500000000004558
467,339,181,418,786,339,60.49999999998428
468,208,139,155,208,98,-15.09999999999867
469,2,4,0,5,4,0.49999999999990663
470,479,426,455,563,354,-11.299999999997965
471,193,159,170,222,86,-15.09999999999686
472,45,27,20,68,38,2.6999999999984894
473,301,216,197,263,136,-28.29999999999673
474,526,400,368,426,126,-77.39999999998568
475,274,189,174,283,86,-28.199999999996244
476,210,156,149,244,98,-13.599999999998506
477,155,126,135,165,95,-8.099999999998818
478,816,381,648,269,34,-167.59999999997342
479,1070,249,349,122,90,-208.69999999998677
480,504,461,533,568,261,-37.89999999998942
481,547,477,530,573,128,-74.1999999999812
482,230,283,305,441,148,-0.5999999999949601
483,305,336,459,411,136,-26.299999999987868
484,429,580,249,246,59,-107.39999999997069
485,388,278,446,613,276,11.09999999999701
486,1386,1314,1101,1526,531,-149.79999999996397
487,72,159,1045,1358,836,272.69999999995616
488,4,1,0,2,0,-0.6999999999999809
489,8,9,6,9,0,-1.5999999999995511
490,41,20,82,67,64,9.299999999997816
491,302,164,1453,1329,779,211.8999999999678
492,680,725,1151,1232,537,22.100000000009047
493,571,2375,2706,2503,1058,110.20000000007767
494,273,469,1338,2135,1073,326.5999999999512
495,2,2,21,154,74,29.59999999999347
496,122,175,783,1100,478,163.69999999997708
497,26,51,372,731,369,136.59999999997544
499,260,181,309,235,172,-12.199999999998084
500,211,340,400,337,192,-4.099999999990509
502,199,215,329,400,217,22.09999999999856
503,362,279,485,404,130,-33.8999999999901
504,1726,1106,1527,1169,407,-257.49999999995396
505,1096,785,910,982,492,-101.09999999998485
506,305,350,762,1071,285,68.09999999999786
507,392,242,17,20,22,-96.19999999998768
508,110,246,47,80,123,-13.999999999993705
509,922,845,721,980,328,-105.29999999997582
511,1033,1023,1089,987,551,-99.99999999997158
512,642,700,729,691,291,-71.09999999997632
513,122,169,75,83,19,-29.199999999991736
515,1097,1094,1036,1018,370,-152.99999999995896
516,1276,999,1044,1197,559,-123.5999999999781
517,2443,2316,1795,1947,816,-362.29999999991855
518,3220,2815,2689,2562,1067,-455.89999999989936
519,3880,3311,2835,3338,1288,-515.6999999998955
521,1370,1286,1347,1170,384,-208.79999999994607
522,1279,1273,1085,966,356,-215.29999999994624
523,501,596,382,393,152,-90.09999999997527
524,413,264,231,286,102,-59.9999999999919
525,363,343,438,411,174,-30.99999999998999
526,479,443,411,385,209,-59.79999999998636
527,533,560,394,363,192,-87.89999999997875
528,268,280,152,121,83,-52.89999999998835
529,125,184,78,56,22,-33.3999999999905
530,255,259,148,204,71,-42.29999999999048
531,373,328,289,377,136,-42.49999999999088
532,1949,1177,1016,1499,606,-236.3999999999769
533,1830,1276,1067,1665,703,-186.4999999999789
534,205,188,186,280,129,-5.999999999998437
535,1095,1204,1427,1548,700,-44.59999999997393
536,50,36,57,35,11,-7.899999999998181
537,1135,937,762,853,353,-164.79999999996892
538,3272,2801,3074,3302,1167,-370.8999999999124
539,129,97,107,80,28,-21.89999999999562
540,350,465,530,490,206,-26.29999999998472
541,1,3,2,2,0,-0.2999999999998318
542,223,192,174,211,57,-31.299999999993112
544,1192,1300,1602,1518,520,-112.59999999995458
545,444,391,399,369,120,-66.9999999999842
547,1964,2417,2455,1903,718,-300.59999999989424
548,1536,1345,1456,1533,253,-237.79999999994004
549,391,488,533,505,165,-43.49999999998134
550,2060,2140,3546,3593,1787,90.70000000001903
551,2155,2440,3157,2799,980,-199.0999999999113
552,2302,3755,3557,3556,1366,-207.09999999986593
554,86,74,255,786,369,127.79999999997352
555,53,113,560,481,190,64.19999999999715
556,84,103,185,264,132,25.6999999999969
557,496,723,1418,1812,925,194.69999999998132
558,289,230,361,304,201,-10.199999999997289
559,560,739,1019,1146,484,25.50000000001195
576,527,873,1470,1811,896,167.59999999999235
577,192,236,304,341,184,8.90000000000223
578,443,221,448,555,279,0.5999999999947718
580,2,0,1,0,0,-0.3999999999999811
581,128,155,150,207,66,-7.199999999996068
582,177,112,153,140,68,-18.999999999997286
583,1,2,5,2,0,-0.19999999999983176
586,5,2,6,1,0,-1.099999999999794
587,9,2,3,2,0,-1.7999999999998684
588,1,6,5,6,1,2.6148527787484E-13
589,445,349,585,754,236,-1.2999999999968068
590,163,189,193,220,58,-17.89999999999315
591,387,533,517,406,152,-59.69999999997654
592,262,583,476,552,209,-13.699999999980449
594,135,180,170,121,59,-21.099999999992292
595,357,620,690,816,242,-3.3999999999811124
596,173,244,419,354,82,-7.199999999989693
597,492,720,477,429,185,-90.49999999996906
598,156,198,143,199,41,-22.899999999992236
599,126,137,72,34,10,-33.49999999999216
600,113,83,41,43,18,-22.999999999996376
601,115,112,61,68,33,-20.79999999999569
602,104,73,46,68,37,-13.899999999998386
603,1,5,1,0,1,-0.49999999999975697
605,3,0,3,2,0,-0.399999999999981
607,1865,2599,2383,2460,912,-204.49999999990675
608,73,48,207,330,104,34.39999999999456
609,93,113,214,233,51,3.600000000003128
611,63,80,106,158,33,1.800000000001666
612,236,344,371,509,155,0.30000000000802274
613,608,667,711,870,236,-54.099999999978785
614,149,197,253,248,80,-8.699999999993345
615,220,207,294,301,94,-15.799999999993783
616,281,273,298,434,177,-4.699999999997139
617,219,319,442,792,368,77.09999999999071
618,248,257,471,878,453,103.0999999999814
619,348,421,639,849,322,37.60000000000163
620,113,103,157,227,98,9.399999999998979
621,287,298,275,269,120,-36.29999999998988
622,363,359,278,368,140,-43.69999999998938
623,232,207,171,240,122,-18.699999999996503
624,292,336,203,317,152,-29.89999999999179
625,298,459,185,297,142,-47.39999999998432
627,34,22,37,70,32,4.3999999999988235
628,67,81,66,133,58,3.4000000000000394
629,128,145,151,180,46,-12.899999999994986
630,931,945,673,695,193,-172.59999999995824
631,284,431,252,53,6,-93.39999999997244
632,391,281,256,49,4,-100.59999999998057
642,28,131,186,392,173,55.099999999993784
643,229,141,152,265,99,-13.599999999999731
644,52,59,94,71,30,-3.1999999999979405
645,14,15,9,9,2,-2.9999999999992704
646,139,130,134,175,64,-10.49999999999706
647,86,98,92,138,60,-1.1999999999987256
648,4,6,6,5,3,-0.29999999999981286
649,110,128,142,200,104,6.000000000000263
650,84,169,184,132,31,-14.299999999991286
653,1,4,12,5,3,0.500000000000187
655,48,32,27,32,5,-8.599999999998573
656,3,1,0,1,0,-0.5999999999999622
657,1,3,3,3,2,0.20000000000005602
660,18,39,33,39,14,-0.7999999999987097
661,169,122,162,126,47,-23.99999999999511
662,66,89,88,63,17,-12.399999999995494
663,14,11,13,14,3,-1.8999999999995687
664,264,172,225,270,109,-21.19999999999729
665,96,111,168,162,60,-2.0999999999970207
667,304,251,308,247,95,-42.199999999990084
668,76,57,92,68,28,-8.49999999999792
669,331,248,235,169,77,-58.699999999989146
670,448,287,247,201,96,-78.99999999998839
671,1358,983,743,629,281,-250.79999999995835
672,151,156,97,66,10,-37.19999999999123
673,77,45,30,28,7,-15.699999999997825
675,31,24,15,13,11,-5.0999999999992305
676,6,3,6,4,0,-1.099999999999794
677,0,0,2,0,0,3.7372834305902845E-14
678,538,503,309,169,75,-125.99999999997334
679,58,22,26,14,11,-10.199999999999154
681,99,129,75,49,18,-24.19999999999328
682,1660,933,779,877,397,-258.1999999999716
683,431,451,430,256,133,-79.09999999997885
684,311,244,254,193,89,-49.49999999999015
685,3,3,3,1,0,-0.7999999999997941
687,1,0,0,1,0,-0.1000000000000186
689,150,144,144,180,93,-7.799999999997802
690,243,189,332,231,103,-23.799999999993254
692,135,155,113,206,68,-8.299999999996853
693,2,1,1,1,0,-0.39999999999994373
694,149,129,164,166,48,-16.499999999995488
696,234,186,275,832,271,71.99999999998485
697,67,73,49,159,53,5.799999999999068
698,11,8,11,43,6,2.4999999999995146
699,62,44,28,82,24,-3.7999999999998817
700,124,117,173,228,80,2.300000000001056
702,137,98,75,129,53,-13.699999999998479
703,0,0,0,1,0,0.0999999999999813
704,247,151,211,192,121,-21.09999999999796
705,12,4,3,0,1,-2.5999999999997745
706,70,88,165,157,24,-2.299999999996258
708,174,429,1116,1235,285,102.80000000000584
709,1,1,0,3,0,0.0
710,15,91,371,701,323,122.59999999998081
711,47,47,59,114,38,4.899999999999481
714,175,113,100,59,23,-35.79999999999418
716,131,249,330,449,166,27.00000000000243
717,70,196,197,320,76,13.600000000004426
718,167,146,152,297,114,4.499999999999094
719,53,76,71,219,79,19.499999999997065
720,52,89,33,161,57,8.199999999999404
721,523,542,570,737,280,-29.0999999999884
722,59,18,12,13,12,-9.899999999999677
724,66,136,859,825,486,152.899999999981
726,164,45,82,186,53,-8.100000000002378
727,139,156,449,303,128,12.50000000000431
728,13,7,13,24,2,-0.49999999999992467
729,293,455,371,370,139,-39.29999999998225
730,181,112,169,92,113,-15.599999999998609
732,5,14,7,7,2,-1.2999999999993268
733,39,19,18,29,11,-4.599999999999755
737,5,3,0,1,2,-0.7999999999999625
738,524,417,397,317,146,-85.59999999998328
739,2,5,4,9,6,1.1999999999998505
740,17,3,12,3,14,-0.6000000000004473
741,50,44,54,31,10,-9.29999999999766
742,563,566,389,481,175,-86.09999999997973
743,900,742,642,786,466,-82.39999999998716
744,858,1004,884,1010,231,-124.7999999999589
745,528,502,434,773,211,-36.29999999999001
746,78,95,57,76,37,-10.099999999997095
747,426,298,286,478,212,-24.799999999998747
748,1406,1386,1466,1370,376,-207.59999999994147
749,390,411,507,475,173,-36.999999999986024
750,1744,1456,1348,1485,357,-274.4999999999409
751,0,5,4,25,0,1.9999999999998874
752,205,73,39,137,157,-3.2000000000065256
753,12,8,14,15,3,-1.099999999999737
754,206,166,211,196,73,-23.59999999999449
755,538,869,1222,702,301,-64.09999999995841
758,1317,971,1694,2504,955,80.89999999998585
759,776,746,876,1075,558,-10.699999999993153
760,1503,1083,2835,5848,2451,666.0999999998669
762,804,807,717,1240,641,10.699999999999562
768,568,443,385,345,380,-47.399999999995686
769,704,502,394,919,356,-27.90000000000157
770,1866,1121,712,1109,719,-230.5999999999847
772,948,703,296,48,13,-252.49999999995663
773,159,144,217,199,62,-13.899999999995051
775,1531,786,1099,2460,769,14.999999999975529
776,1542,1248,1694,2451,783,-31.499999999988006
777,8,2,15,15,6,0.8999999999997763
778,1,2,1,3,0,-0.0999999999999252
779,8,3,1,2,3,-1.100000000000018
780,2,6,1,1,1,-0.6999999999997196
781,6,11,4,4,3,-1.2999999999995508
782,659,738,1099,969,330,-42.69999999997464
783,319,164,173,258,42,-45.99999999999473
784,5,7,28,69,6,6.39999999999929
785,69,116,69,64,36,-11.799999999995418
786,403,366,312,372,101,-59.79999999998624
787,1,0,4,2,1,0.19999999999998136
788,29,27,16,22,3,-5.699999999998764
789,0,4,6,3,0,-0.09999999999971976
790,8,1,1,3,0,-1.3999999999999806
